competition_key,player_id,player_name,team_id,team_name,crest_url,goals,penalties,own_goals,penalty_shootout_scored,penalty_shootout_missed
22177943-21-22177950,6017996,"MARTINEZ MONTERO, MANUEL",780,"REAL RACING CLUB SAD ""A""",https://www.rfcf.es/pnfg/pimg/Clubes/00100_0000636294_racing66.jpg,74,0,0,0,0
22536452-21-22775071,1075860,"TORRES RAMON, DIDAC",864081,AT. JESUS,https://www.ffib.es/Fed/pimg/Clubes/00100_0000249203_nuevo_escudo.jpg,43,3,0,0,0
22536452-21-22775071,1246515,"VARGAS BOSTOEN, ANGEL",302549,"S.D. PORTMANY ""B""",https://www.ffib.es/Fed/pimg/Clubes/00100_0000306100_ESCUDO_NUEVO.jpg,41,0,0,0,0
22320181-21-22395204,1807365,"LAMIEL ALVAREZ, HUGO",6035981,CALANDA-C.D.,https://www.futbolaragon.com/pnfg/pimg/Clubes/00100_0000360246_Escudo_moderno.jpeg,41,1,0,0,0
22619991-21-22619992,276555,"PELAEZ ESTEBAN, PAUL",6087,"EIBAR, S.D.",https://www.euskadifutbol.eus/pnfg/pimg/MigracionPV/escudosFGF/2012.jpg,34,1,0,0,0
22177943-21-22177950,5770202,"DESIRE BONILLA, DANIEL",2138,"E.F. SANTANDER ""A""",https://www.rfcf.es/pnfg/pimg/Clubes/00100_0000706282_escudo_escuela_azul_NUEVO.jpg,34,7,0,0,0
22342662-21-22343993,22164140,"BARRANCO GARCIA, RAMON",34559,C.D. GUADALAJARA,https://www.ffcm.es/pnfg/pimg/Clubes/00100_0000202744_1_Escudo_principal_contorno__SE_PONE_SOBRE_FONDO_BLANCO.png,34,7,0,0,0
22320178-21-22401727,2588980,"ARTIEDA VELILLA, SANTIAGO",6,REAL ZARAGOZA S.A.D.,https://www.futbolaragon.com/pnfg/pimg/Clubes/00100_0000047835_Escudo-Zaragoza.jpg,33,1,0,0,0
22619989-21-22619990,77505,"SEVILLA SANCHEZ, ENAITZ",9528,"CULTURAL DPVA. DURANGO, S.",https://www.euskadifutbol.eus/pnfg/pimg/MigracionPV/escudosFVF/1020_grande.png,32,0,0,0,0
22536594-21-22628072,1241920,"ROMERO NAVARRO, EFREN",103179,R C D MALLORCA SAD,https://www.ffib.es/Fed/pimg/Clubes/00100_0000306448_RCDMALLORCA_ESCUDO.png,32,4,0,0,0
