ETAPA;PROVINCIA;competition_id,season_id,group_id,competition_name,competition_gender,country_name,season_name,match_updated,match_available,match_duration_minutes,competition_type,federacion,comunidad,compite_athletic,etapa
SENIOR;FUERA;22108266,21,22108267,TERCERA FEDERACION GRUPO III,,,2025-2026,,,90,Liga,rfcf,rfcf,False,SENIOR
JUVENIL;FUERA;22108378,21,22108379,LIGA NACIONAL JUVENIL GRUPO 17,,,2025-2026,,,90,Liga,rfcf,rfcf,False,JUVENIL
CADETE;BIZKAIA;22177943,21,22177950,PRIMERA CADETE UNICO,,,2025-2026,,,80,Liga,rfcf,rfcf,False,CADETE
SENIOR;FUERA;22201339,21,22223112,TERCERA RFEF G-18,,,2025-2026,,,90,Liga,CLM,CLM,False,SENIOR
JUVENIL;FUERA;22227427,21,22229298,LIGA NACIONAL JUVENIL GRUPO 15,,,2025-2026,,,90,Liga,CLM,CLM,False,JUVENIL
JUVENIL;BIZKAIA;22227461,21,22229338,JUVENIL PREFERENTE GRUPO 1,,,2025-2026,,,90,Liga,CLM,CLM,False,JUVENIL
JUVENIL;BIZKAIA;22227461,21,22229340,JUVENIL PREFERENTE GRUPO 2,,,2025-2026,,,90,Liga,CLM,CLM,False,JUVENIL
CADETE;FUERA;22320178,21,22401727,DIVISIÓN HONOR CADETE Grupo Único,,,2025-2026,,,80,Liga,aragon,ARAGON,False,CADETE
SENIOR;FUERA;22320180,21,22379581,TERCERA RFEF G-17,,,2025-2026,,,90,Liga,aragon,NACIONAL,False,SENIOR
JUVENIL;FUERA;22320181,21,22395200,JUVENIL PREFERENTE Grupo 1 - Zaragoza,,,2025-2026,,,90,Liga,aragon,ARAGON,False,JUVENIL
JUVENIL;FUERA;22320181,21,22395201,JUVENIL PREFERENTE Grupo 2 - Huesca,,,2025-2026,,,90,Liga,aragon,ARAGON,False,JUVENIL
JUVENIL;FUERA;22320181,21,22395202,JUVENIL PREFERENTE Grupo 3-A - Provincia Zaragoza,,,2025-2026,,,90,Liga,aragon,ARAGON,False,JUVENIL
JUVENIL;FUERA;22320181,21,22395203,JUVENIL PREFERENTE Grupo 3-B - Provincia Zaragoza,,,2025-2026,,,90,Liga,aragon,ARAGON,False,JUVENIL
