competition_id,season_id,group_id,competition_key,competition_name,season_name,competition_gender,competition_country,match_duration_minutes,match_count,competition_type,etapa,provincia
22108266,21,22108267,22108266-21-22108267,TERCERA FEDERACION GRUPO III,2025-2026,,,90,,Liga,SENIOR,FUERA
22108378,21,22108379,22108378-21-22108379,LIGA NACIONAL JUVENIL GRUPO 17,2025-2026,,,90,,Liga,JUVENIL,FUERA
22177943,21,22177950,22177943-21-22177950,PRIMERA CADETE UNICO,2025-2026,,,80,,Liga,CADETE,BIZKAIA
22201339,21,22223112,22201339-21-22223112,TERCERA RFEF G-18,2025-2026,,,90,,Liga,SENIOR,FUERA
22227427,21,22229298,22227427-21-22229298,LIGA NACIONAL JUVENIL GRUPO 15,2025-2026,,,90,,Liga,JUVENIL,FUERA
22227461,21,22229338,22227461-21-22229338,JUVENIL PREFERENTE GRUPO 1,2025-2026,,,90,,Liga,JUVENIL,BIZKAIA
22227461,21,22229340,22227461-21-22229340,JUVENIL PREFERENTE GRUPO 2,2025-2026,,,90,,Liga,JUVENIL,BIZKAIA
22320178,21,22401727,22320178-21-22401727,DIVISIÓN HONOR CADETE Grupo Único,2025-2026,,,80,,Liga,CADETE,FUERA
22320180,21,22379581,22320180-21-22379581,TERCERA RFEF G-17,2025-2026,,,90,,Liga,SENIOR,FUERA
22320181,21,22395200,22320181-21-22395200,JUVENIL PREFERENTE Grupo 1 - Zaragoza,2025-2026,,,90,,Liga,JUVENIL,FUERA
22320181,21,22395201,22320181-21-22395201,JUVENIL PREFERENTE Grupo 2 - Huesca,2025-2026,,,90,,Liga,JUVENIL,FUERA
22320181,21,22395202,22320181-21-22395202,JUVENIL PREFERENTE Grupo 3-A - Provincia Zaragoza,2025-2026,,,90,,Liga,JUVENIL,FUERA
22320181,21,22395203,22320181-21-22395203,JUVENIL PREFERENTE Grupo 3-B - Provincia Zaragoza,2025-2026,,,90,,Liga,JUVENIL,FUERA
22320181,21,22395204,22320181-21-22395204,JUVENIL PREFERENTE Grupo 4 - Teruel,2025-2026,,,90,,Liga,JUVENIL,FUERA
22320195,21,22320196,22320195-21-22320196,REGIONAL PREFERENTE GRUPO 1,2025-2026,,,90,,Liga,SENIOR,FUERA
22320195,21,22320197,22320195-21-22320197,REGIONAL PREFERENTE GRUPO 2,2025-2026,,,90,,Liga,SENIOR,FUERA
22320235,21,22358727,22320235-21-22358727,LIGA NACIONAL JUVENIL Grupo 6,2025-2026,,,90,,Liga,JUVENIL,FUERA
22342662,21,22343988,22342662-21-22343988,LIGA REGIONAL CADETE GRUPO 1,2025-2026,,,80,,Liga,SENIOR,FUERA
22342662,21,22343993,22342662-21-22343993,LIGA REGIONAL CADETE GRUPO 2,2025-2026,,,80,,Liga,SENIOR,BIZKAIA
22536409,21,22536410,22536409-21-22536410,TERCERA RFEF G-11,2025-2026,,,90,,Liga,SENIOR,FUERA
22536419,21,22536420,22536419-21-22536420,LIGA NACIONAL JUVENIL Grupo 9,2025-2026,,,90,,Liga,JUVENIL,FUERA
22536421,21,22536422,22536421-21-22536422,JUVENIL PREFERENTE MALLORCA GRUPO A,2025-2026,,,90,,Liga,JUVENIL,FUERA
22536421,21,22536423,22536421-21-22536423,JUVENIL PREFERENTE MALLORCA GRUPO B,2025-2026,,,90,,Liga,JUVENIL,FUERA
22536446,21,22750685,22536446-21-22750685,DIVISIÓN DE HONOR IBIZA/F. LIGA,2025-2026,,,90,,Liga,SENIOR,FUERA
22536452,21,22775071,22536452-21-22775071,JUVENIL PREFERENTE IBIZA/F. LIGA,2025-2026,,,90,,Liga,JUVENIL,FUERA
22536453,21,22536454,22536453-21-22536454,DIVISIÓN DE HONOR MENORCA LIGA,2025-2026,,,90,,Liga,SENIOR,FUERA
22536455,21,22536456,22536455-21-22536456,JUVENIL PREFERENTE MENORCA LLIGA,2025-2026,,,90,,Liga,JUVENIL,FUERA
22536593,21,22606841,22536593-21-22606841,DIVISIÓN DE HONOR MALLORCA LIGA,2025-2026,,,90,,Liga,SENIOR,FUERA
22536594,21,22628072,22536594-21-22628072,CADETE AUTONÓMICA LIGA,2025-2026,,,80,,Liga,CADETE,FUERA
22619984,21,22619985,22619984-21-22619985,TERCERA RFEF G-4,2025-2026,,,90,,Liga,SENIOR,EUSKADI
22619987,21,22619988,22619987-21-22619988,LIGA NACIONAL JUVENIL Grupo 2,2025-2026,,,90,,Liga,JUVENIL,EUSKADI
22619989,21,22619990,22619989-21-22619990,LIGA VASCA JUVENIL,2025-2026,,,90,,Liga,JUVENIL,EUSKADI
22619991,21,22619992,22619991-21-22619992,LIGA VASCA CADETE,2025-2026,,,80,,Liga,CADETE,EUSKADI
22620058,21,23099487,22620058-21-23099487,JUVENIL HONOR REGIONAL GIPUZKOA G-1,2025-2026,,,90,,Liga,JUVENIL,GIPUZKOA
22620058,21,23099489,22620058-21-23099489,JUVENIL HONOR REGIONAL GIPUZKOA G-2,2025-2026,,,90,,Liga,JUVENIL,GIPUZKOA
22620058,21,23099506,22620058-21-23099506,JUVENIL HONOR REGIONAL GIPUZKOA G-3,2025-2026,,,90,,Liga,JUVENIL,GIPUZKOA
22620058,21,23099507,22620058-21-23099507,JUVENIL HONOR REGIONAL GIPUZKOA G-4,2025-2026,,,90,,Liga,JUVENIL,GIPUZKOA
22620060,21,23108608,22620060-21-23108608,CADETE HONOR GUIPUZKOA G-1,2025-2026,,,80,,Liga,CADETE,GIPUZKOA
22620060,21,23108610,22620060-21-23108610,CADETE HONOR GUIPUZKOA G-2,2025-2026,,,80,,Liga,CADETE,GIPUZKOA
22620060,21,23108611,22620060-21-23108611,CADETE HONOR GUIPUZKOA G-3,2025-2026,,,80,,Liga,CADETE,GIPUZKOA
22620060,21,23108612,22620060-21-23108612,CADETE HONOR GUIPUZKOA G-4,2025-2026,,,80,,Liga,CADETE,GIPUZKOA
22620062,21,23419532,22620062-21-23419532,INFANTIL GIPUZKOA HANDI G-1,2025-2026,,,70,,Liga,INFANTIL,GIPUZKOA
22620062,21,23419550,22620062-21-23419550,INFANTIL GIPUZKOA HANDI G-2,2025-2026,,,70,,Liga,INFANTIL,GIPUZKOA
22620062,21,23419557,22620062-21-23419557,INFANTIL GIPUZKOA HANDI G-3,2025-2026,,,70,,Liga,INFANTIL,GIPUZKOA
22620062,21,23419592,22620062-21-23419592,INFANTIL GIPUZKOA HANDI G-4,2025-2026,,,70,,Liga,INFANTIL,GIPUZKOA
22620062,21,23419593,22620062-21-23419593,INFANTIL GIPUZKOA HANDI G-5,2025-2026,,,70,,Liga,INFANTIL,GIPUZKOA
22620110,21,23699397,22620110-21-23699397,INFANTIL GIPUZKOA HANDI  FASE DE CAPEONES G-1,2025-2026,,,70,,Liga,INFANTIL,GIPUZKOA
22620110,21,23699398,22620110-21-23699398,INFANTIL GIPUZKOA HANDI  FASE DE CAPEONES G-2,2025-2026,,,70,,Liga,INFANTIL,GIPUZKOA
22620265,21,22620266,22620265-21-22620266,JUVENIL HONOR REGIONAL ARABA,2025-2026,,,90,,Liga,JUVENIL,ARABA
22620267,21,22620268,22620267-21-22620268,CADETE HONOR ALAVA,2025-2026,,,80,,Liga,CADETE,ARABA
22620312,21,22865876,22620312-21-22865876,INFANTIL HONOR BIZKAIA G-1,2025-2026,,,70,,Liga,INFANTIL,BIZKAIA
22620312,21,23498869,22620312-21-23498869,INFANTIL HONOR BIZKAIA G-2,2025-2026,,,70,,Liga,INFANTIL,BIZKAIA
22620312,21,23498871,22620312-21-23498871,INFANTIL HONOR BIZKAIA G-3,2025-2026,,,70,,Liga,INFANTIL,BIZKAIA
22620312,21,23498920,22620312-21-23498920,INFANTIL HONOR BIZKAIA G-4,2025-2026,,,70,,Liga,INFANTIL,BIZKAIA
22620317,21,22682894,22620317-21-22682894,DIVISION HONOR REGIONAL BIZKAIA,2025-2026,,,90,,Liga,SENIOR,BIZKAIA
22620318,21,22682895,22620318-21-22682895,PREFERENTE REGIONAL BIZKAIA,2025-2026,,,90,,Liga,SENIOR,BIZKAIA
22620322,21,22682900,22620322-21-22682900,JUVENIL HONOR BIZKAIA,2025-2026,,,90,,Liga,JUVENIL,BIZKAIA
22620323,21,22620324,22620323-21-22620324,JUVENIL PREFERENTE BIZKAIA G-1,2025-2026,,,90,,Liga,JUVENIL,BIZKAIA
22620323,21,22620325,22620323-21-22620325,JUVENIL PREFERENTE BIZKAIA G-1,2025-2026,,,90,,Liga,JUVENIL,BIZKAIA
22620328,21,22682904,22620328-21-22682904,CADETE HONOR BIZKAIA,2025-2026,,,80,,Liga,CADETE,BIZKAIA
22693887,21,22693905,22693887-21-22693905,CADETE PROMESAS LIGA,2025-2026,,,80,,Liga,CADETE,FUERA
22984063,21,22984287,22984063-21-22984287,COPA FEDERACIÓN,2025-2026,,,90,,Copa,SENIOR,EUSKADI
23128064,21,23128070,23128064-21-23128070,JUVENIL PREFERENTE - SEGUNDA FASE Grupo 3 - Provincia Zaragoza,2025-2026,,,90,,Liga,JUVENIL,FUERA
23289291,21,23289292,23289291-21-23289292,PRIMERA DIVISION,2025-2026,,,90,,Liga,SENIOR,BIZKAIA
23289293,21,23289294,23289293-21-23289294,SEGUNDA DIVISION,2025-2026,,,90,,Liga,SENIOR,BIZKAIA
23289295,21,23289296,23289295-21-23289296,PRIMERA REF G-1,2025-2026,,,90,,Liga,SENIOR,FUERA
23289295,21,23289297,23289295-21-23289297,PRIMERA REF G-2,2025-2026,,,90,,Liga,SENIOR,BIZKAIA
23289298,21,23289299,23289298-21-23289299,SEGUNDA REF G-1,2025-2026,,,90,,Liga,SENIOR,NACIONAL
