referee_id,referee_name,country_name
1,"ANDRES ARRILLAGA, JON",
2,"ARRIZABALAGA BLASCO, ANDER",
3,"GARCIA FERNANDEZ, ERLANTZ",
4,"JIMENEZ MAX, ALEJANDRO",
5,"FERNANDEZ BRION, AITOR",
6,"ECEIZA LUMBRERAS, AIMAR",
7,"MADRIGAL URIONAGÜENA, MARKEL",
8,"ALVARO GARCIA, ARKAITZ",
9,"ASURMENDI CABERO, OINATZ",
10,"BIS BENITO DEL VALLE, IÑIGO",
11,"ELORZA RODRIGUEZ, JON",
13,"TEJERO ARROYO, DAVID",
14,"UNAMUNO BARBOLLA, ANDER",
15,"ZANNOUTI EL MIRI, YASSINE",
16,"CACHON LAFUENTE, RUBEN",
18,"LÓPEZ ALDAY, NICOLÁS",
20,"MIJARES SUSTACHA, ALVARO",
21,"GORROTXATEGI CABANILLAS, ASIER",
22,"BAKAIKOA VISCARRET, JON",
23,"MERINO GOMEZ, DAVID",
24,"SANZ GARCIA, JON",
25,"LUQUE MARCIANES, ANDONI",
26,"ITURRIA SILVETI, MIKEL",
27,"REVILLA MUÑOZ, IKER",
28,"GOMEZ LANDAZABAL, XABIER",
29,"SERNA LANBARRI , IÑIGO",
30,"NAVARRO FERNANDEZ, XABIER",
31,"GONZALEZ RUIZ, ENEKO",
32,"ALONSO MARTIN, ENEKO",
33,"MEDIERO MUNDUATE, ANDER",
34,"SANCHEZ BARRENA, BEÑAT",
35,"RODRIGUEZ ECHANIZ, AITOR",
37,"ARTEAGA PALACIOS, LANDER",
38,"GARCIA PAUNERO, XABIER",
39,"LOPEZ NAVARLAZ, ALAIN",
40,"CRESPO FERNANDEZ, ALVARO",
41,"CALVILLO LETURIA, JOSU",
42,"SAN PEDRO DIEZ, ALBERTO",
43,"ESTÉVEZ BERMÚDEZ, MARTÍN",
45,"DE SANTIAGO MONTOYA, IÑIGO",
47,"MARTIN DEL MORAL, ALEX",
48,"LOPEZ CASTRO, ASIER",
49,"CAMPOS VITERI, EKAITZ",
51,"GUTIERREZ GARROTE, JAVIER",
52,"RIAL GARAGARZA, UNAI",
54,"BECERRIL ANTON, MARKEL",
55,"ZUAZO NUÑEZ, EÑAUT",
56,"EL IDRISSI HIDA, MOHAMED",
57,"FRESNEDO ARRUABARRENA , HARITZ",
58,"CASTRO BERMUDEZ, EGOITZ",
59,"DIAZ DE SARRALDE MARTIN, JON",
60,"EL HELOUI OULAD ELKADI, HAKIM",
61,"BAZZANINE ., ANUAR NABIL",
62,"HERNANDEZ UNZUETA, JON",
63,"MARTIN DELGADO, LIHER",
64,"ABALOS IBAÑEZ, JOSEBA ANDONI",
