stadium_id,stadium_name,city,field_type,country_name
1275,ALUSTIZA (H.A.),Getaria,Hierba Artificial,
1278,ARGIXAO (H.A.),Zumarraga,Hierba Artificial,
1281,AZKOAGAIN (H.A.),Oñati,Hierba Artificial,
1282,ASTI - TXIKI (H.A.),Zarautz,Hierba Artificial,
1301,MICHELIN (H.A.),Madrid,Hierba Artificial,
1304,ONDARTZA-ANEXO (H.A.),Donostia / San Sebastián,Hierba Artificial,
1305,SAN JOSE OBRERO (H.A.),Cartagena,Hierba Artificial,
1317,ALTAMIRA-ANEXO (H.A.),Ordizia,Hierba Artificial,
1338,KARLA LEKUONA (H.A.),Ugaldetxo,Hierba Artificial,
1340,ZUBIETA (H.A.),Zubieta,Hierba Artificial,
30,ZARAMAGA,Vitoria-Gasteiz,"Hierba Artificial Árbitro: FIDALGO LÓPEZ, MARCO",
34,SANSOMENDI-2,Vitoria-Gasteiz,"Hierba Artificial Árbitro: EL KHATTABI ., NEZZAR",
35,SAN MARTIN,Vitoria-Gasteiz,"Hierba Artificial Árbitro: KHAYATI MEZZI, AYYOUB",
70,OLARANBE Nº 2,Vitoria-Gasteiz,Hierba Natural,
175,LA VITORIANA-1,Vitoria-Gasteiz,"Hierba Artificial Árbitro: MEDIAVILLA PONCE DE LEON, NICOLÁS",
1731,GARMENDIPE-ANEXO (H.A.),Azpeitia,Hierba Artificial,
1965,ZUBIETA Z5 (H.A.),Donostia / San Sebastián,Hierba Artificial,
3295,J.L.COMPAÑON 2 (H.A.),Madrid,"Hierba Artificial Árbitro: CARRASCO SAENZ, JON",
4158,LARREA,Larrea,Hierba Artificial,
4171,IBARRETA,Madrid,Hierba Artificial,
4175,SAN MIGUEL,San Miguel,Hierba Artificial,
4182,SALINILLAS,Gatzaga Buradon,Hierba Artificial,
4201,SANTA BARBARA,Santa Bàrbara,Hierba Artificial,
4263,IPARRALDE,Madrid,Hierba Artificial,
4355,ASTOLA 2,Abadiño-Zelaieta,Hierba Artificial,
4360,URBIETA 2 - Gernika,Gernika-Lumo,Hierba Artificial,
4,ARIZNABARRA,Vitoria-Gasteiz,Hierba Artificial,
5,LAKUA-ARRIAGA,Vitoria-Gasteiz,"Hierba Artificial Árbitro: CARRASCO SAENZ, JON",
9,EL SALVADOR Nº 2,Vitoria-Gasteiz,"Hierba Artificial Árbitro: BECI EGUIA, ENEKO",
33,SANSOMENDI-1,Vitoria-Gasteiz,"Hierba Artificial Árbitro: ACHLOUCH LAMARTI, OMAR",
37,ADURTZABAL,Vitoria-Gasteiz,"Hierba Artificial Árbitro: ESPINO IBÁÑEZ, EDER",
68,BETOÑO Nº 2,Vitoria-Gasteiz,Hierba Artificial,
